chromosome	start	end	n_samples	pvalue	adj_pvalue	neg_med	pos_med	ambiguous_med	unique_cpg_pos	labels	med_llr_list	raw_llr_list	raw_pos_list	comment
1	655000	656000	2	0.0003996003996003996	0.005301759790080146	1	1	0	11	["01_lean_SGLT2","02_lean_control"]	[-3.705,4.455]	[[-2.34,-5.07,-5.65,-7.12,-2.28,-1.32],[-0.41,6.265,-0.23,5.37,6.44,4.455,1.705,0.09,10.475]]	[[655100,655161,655372,655393,655413,655445],[655315,655372,655393,655413,655445,655484,655506,655518,655550]]	Significant pvalue
1	777000	778000	2	0.0005321519003387747	0.005815263355601025	1	1	0	25	["01_lean_SGLT2","02_lean_control"]	[-2.485,2.05]	[[-2.74,-2.55,-1.6,-0.115,-0.785,-1.44,0.87,0.45,-3.66,-0.02,-23.845,-3.305,-8.8,0.06,-2.485,-12.065,-36.935,-0.57,-5.9,-4.27,-17.44,0.97,-0.835],[2.91,-1.645,2.295,2.385,2.74,1.805,-0.19,0.23]]	[[777002,777017,777049,777060,777098,777138,777169,777184,777203,777216,777242,777380,777405,777424,777441,777467,777529,777584,777600,777615,777643,777915,777932],[777017,777049,777380,777405,777424,777441,777701,777784]]	Significant pvalue
1	930000	931000	2	0.006923511271337357	0.018640163543280644	1	1	0	21	["01_lean_SGLT2","02_lean_control"]	[4.442,-3.375]	[[-5.05,3.645,10.555,6.205,5.24,-0.255],[-8.395,0.41,1.08,-6.895,-14.455,-1.62,-1.605,-3.64,-1.87,-6.88,-5.02,-6.825,-3.11,-0.76,4.535,-2.605,-7.75,-8.09,-15.64,1.94]]	[[930005,930214,930245,930277,930292,930305],[930005,930062,930108,930128,930245,930277,930292,930305,930357,930376,930399,930416,930464,930582,930595,930829,930847,930878,930903,930943]]	Non-significant pvalue
1	937000	938000	2	0.0004190511930450011	0.005301759790080146	1	1	0	15	["01_lean_SGLT2","02_lean_control"]	[4.682,-3.0]	[[-3.07,5.83,6.68,5.16,4.82,4.545,1.95,2.2],[0.225,-3.02,-1.655,-10.63,-3.39,-17.89,-3.135,-0.13,-8.125,-5.49,1.36,-1.59,-2.98,-2.755]]	[[937012,937624,937681,937721,937748,937825,937936,937970],[937012,937066,937165,937195,937222,937402,937561,937624,937681,937721,937748,937825,937836,937970]]	Significant pvalue
1	987000	988000	2	0.01562653184046751	0.030604644864242667	1	1	0	26	["01_lean_SGLT2","02_lean_control"]	[-2.695,2.545]	[[-27.555,-14.735,-1.635,-2.215,2.405,-2.99,-12.57,0.815,-2.4,16.705,-7.12,-10.6,-1.08,-5.43,-7.81,-1.87,-0.94,-3.74,-10.52,-1.97,0.0,-3.81],[-7.16,-2.855,4.55,3.365,-12.505,-8.92,2.88,6.045,9.275,7.885,8.96,2.21,0.495,-0.66]]	[[987022,987060,987089,987333,987354,987386,987403,987419,987437,987462,987557,987583,987602,987621,987638,987650,987663,987678,987694,987725,987754,987974],[987060,987161,987244,987284,987308,987333,987354,987386,987403,987419,987437,987725,987754,987974]]	Non-significant pvalue
1	1242000	1243000	2	0.013076994198275661	0.0268847366103601	1	1	0	22	["01_lean_SGLT2","02_lean_control"]	[2.635,-3.76]	[[-0.455,-5.66,3.32,-2.48,2.635,4.18,3.67],[-5.765,-4.45,-3.03,-1.13,-0.4,-0.49,-1.73,-5.93,-14.97,1.375,-1.065,-4.585,-10.8,-14.37,-5.54,-3.76,-0.68]]	[[1242614,1242633,1242694,1242727,1242760,1242782,1242807],[1242002,1242123,1242157,1242176,1242205,1242231,1242386,1242400,1242453,1242498,1242540,1242551,1242566,1242591,1242614,1242633,1242962]]	Non-significant pvalue
1	1509000	1510000	2	0.0025252525252525255	0.010217262135420704	1	1	0	12	["01_lean_SGLT2","02_lean_control"]	[3.42,-2.31]	[[13.54,3.42,1.72,2.01,9.9],[-2.31,-0.585,-0.93,-0.18,-3.78,-5.615,-8.195]]	[[1509895,1509913,1509946,1509958,1509999],[1509017,1509040,1509060,1509073,1509095,1509142,1509169]]	Non-significant pvalue
1	1637000	1638000	2	0.011106196864710795	0.02396999105043994	1	1	0	21	["01_lean_SGLT2","02_lean_control"]	[6.525,-2.41]	[[6.525,-0.95,-0.35,10.06,18.675],[-3.39,-0.5,-3.94,-7.02,-2.3,-5.52,-3.92,3.905,-9.165,-2.52,-0.03,-1.465,-8.75,-0.91,0.075,2.63]]	[[1637212,1637240,1637391,1637418,1637465],[1637019,1637058,1637080,1637100,1637111,1637128,1637157,1637182,1637709,1637810,1637858,1637875,1637904,1637939,1637966,1637984]]	Non-significant pvalue
1	1723000	1724000	2	0.0018648018648018648	0.009021763150203517	1	1	0	8	["01_lean_SGLT2","02_lean_control"]	[-2.832,3.09]	[[-4.195,-4.305,-0.815,-1.47,-1.14,-4.63,-0.935,-6.85],[-2.54,0.925,1.495,7.8,2.45,5.9,3.73,5.08]]	[[1723732,1723750,1723773,1723848,1723871,1723924,1723938,1723967],[1723732,1723750,1723773,1723848,1723871,1723924,1723938,1723967]]	Significant pvalue
1	1888000	1889000	2	0.0009077690804417966	0.006691537869366968	1	1	0	22	["01_lean_SGLT2","02_lean_control"]	[5.58,-2.635]	[[4.32,5.58,6.83,2.5,14.44],[-0.215,-0.02,-2.44,0.35,-2.99,-2.83,-1.01,-3.675,0.04,-5.17,-2.99,0.25,-11.88,-0.34,-1.46,-8.835,-3.03,-12.215]]	[[1888895,1888921,1888935,1888955,1888970],[1888005,1888017,1888034,1888082,1888145,1888180,1888209,1888232,1888272,1888298,1888333,1888377,1888398,1888428,1888446,1888525,1888852,1888895]]	Significant pvalue
1	2045000	2046000	2	0.00040912087881068916	0.005301759790080146	1	1	0	18	["01_lean_SGLT2","02_lean_control"]	[-3.135,5.48]	[[2.55,-26.56,-18.37,-6.545,-4.375,-9.615,-2.67,-5.47,1.095,-2.78,-1.46,0.39,-3.135],[0.03,0.2,-1.06,6.09,4.69,8.92,6.735,7.24,19.185,5.48,1.475]]	[[2045007,2045509,2045525,2045569,2045584,2045609,2045629,2045648,2045675,2045720,2045762,2045776,2045823],[2045439,2045450,2045475,2045491,2045509,2045525,2045569,2045584,2045609,2045629,2045852]]	Significant pvalue
